Seniūnija,Rūšis,Objektas,Administratorius,Adresas,Paskirtis,Sezoniškumas,Būklė,Įrengimo/ renovacijos data,Užimtumas
Panemunė,Lauko,Lauko treniruokliai,Kauno Vaišvydavos pagrindinė mokykla,"Vaišvydo g. 28, Kaunas",bendras fizinis rengimas,nėra,Labai gera,2013,Mokyklos reikmėms ir bendruomenei visą parą.
Panemunė,Lauko,Krepšinio aikštelė,Kauno Vaišvydavos pagrindinė mokykla,"Vaišvydo g. 28, Kaunas",Krepšinis,nėra,Patenkinama,2006,Mokyklos reikmėms ir bendruomenei visą parą.
Panemunė,Lauko,Futbolo aikštelė,Kauno Vaišvydavos pagrindinė mokykla,"Vaišvydo g. 28, Kaunas","Futbolas, regbis",nėra,Puiki,2016,"Mokyklos reikmėms  I-V nuo 8-16.00, bendruomenei nuo 16.00-20.00"
Panemunė,Vidaus,Sporto salė,Kauno Vaišvydavos pagrindinė mokykla,"Vaišvydo g. 28, Kaunas","Krepšinis, gimnastika, regbis, šokiai",nėra,Gera,2003,"Mokyklos reikmėms pirmadieniais ir trečiadieniais 8.00 - 15.00 val. Antradieniais, ketvirtadieniais, penktadieniais 8.00-16.00 val. Išnuomota I ir III-15-20val. V-16-17val."
Panemunė,Lauko,Stadionas,KTU inžinerijos licėjus,Vaidoto g. 11,"Futbolas, lengvoji atletika",yra ,Renovuojama,,Mokyklos reikmėms d.d. 8:00-16:00
Panemunė,Lauko,Krepšinio aikštelė,KTU inžinerijos licėjus,Vaidoto g. 11,Krepšinis,nėra,Renovuojama,,Mokyklos reikmėms d.d. 8:00-16:00
Panemunė,Lauko,Lauko treniruokliai,KTU inžinerijos licėjus,Vaidoto g. 11,Bendras fizinis rengimas,nėra,Renovuojama,,Mokyklos reikmėms d.d. 8:00-16:00
Panemunė,Lauko,Futbolo aikštelė,KTU inžinerijos licėjus,Vaidoto g. 11,Futbolas,nėra,Renovuojama,,Mokyklos reikmėms d.d. 8:00-16:00
Panemunė,Vidaus,Sporto salė,KTU inžinerijos licėjus,Vaidoto g. 11,"Krepšinis, gimnastika",nėra,patenkinama,,Mokyklos reikmėms d.d. 8:00-16:00
Petrašiūnai,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai",Kauno Palemono gimnazija,Marių 37,bendras fizinis rengimas,nėra,L. Gera ,2018 m.,mokyklos ir bendruomenės reikmėms
Petrašiūnai,Lauko,Stadionas,Kauno Palemono gimnazija,Marių 37,"Futbolas, lengvoji atletika",yra ,L.Gera,2018 m. ,"Mokyklos reikmėms darbo dienomis nuo 8.30. val. iki 15.00. val., likęs laikas - bendruomenės reikmėms"
Petrašiūnai,Lauko,Mažojo futbolo aikštelė,Kauno Palemono gimnazija,Marių 37,"Futbolas, rankinis ",yra ,L.Gera,2018 m. ,"Mokyklos reikmėms darbo dienomis nuo 8.30. val. iki 15.00. val. Futbolo mokykla ""Tauras"" darbo dienomis nuo 15.00 val.-18.00 val., likęs laikas - bendruomenės reikmėms "
Petrašiūnai,Lauko,Krepšinio aikštelė,Kauno Palemono gimnazija,Marių 37,"Krepšinis, lauko tenisas",yra ,L.Gera,2018 m. ,"Mokyklos reikmėms darbo dienomis nuo 8.30. val. iki 17.00. val., likęs laikas - bendruomenės reikmėms "
Petrašiūnai,Lauko,Tinklinio aikštelė,Kauno Palemono gimnazija,Marių 37,Tinklinis ,yra ,L.Gera,2018 m. ,"Mokyklos reikmėms darbo dienomis nuo 8.30. val. iki 15.00. val., likęs laikas - bendruomenės reikmėms "
Petrašiūnai,Vidaus,Sporto salė,Kauno Palemono gimnazija,Marių 37,"Krepšinis, gimnastika, tinklinis,..",nėra,L.Gera,2017 m. ,"Mokyklos reikmėms darbo dienomis nuo 8.30. val. iki 15.00. val. Futbolo mokykla ""Tauras"" darbo dienomis nuo 15.00 val.-18.00 val. Nuo 18.00 laisva ir gali būti išnuomojama"
Petrašiūnai,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai",Kauno Petrašiūnų progimnazija,M. Gimbutienės g. 9,Bendras fizinis rengimas,Nėra,Gera,2017 m.,Mokyklos reikmėms 8.00-14.45 val. Išorės naudotojai 14.45-22.00 val. 
Petrašiūnai,Lauko,Stadionas,Kauno Petrašiūnų progimnazija,M. Gimbutienės g. 9,Futbolas,Nėra ,Gera,2017 m.,Mokyklos reikmėms 8.00-14.45 val. Išorės naudotojai 14.45-22.00 val. 
Petrašiūnai,Lauko,"Tinklinio, lauko  teniso aikštelė",Kauno Petrašiūnų progimnazija,M. Gimbutienės g. 9,"Tinklinis, lauko tenisas",Nėra,Gera,2017 m.,Mokyklos reikmėms 8.00-14.45 val. Išorės naudotojai 14.45-22.00 val. 
Petrašiūnai,Lauko,Krepšinio aikštelė,Kauno Petrašiūnų progimnazija,M. Gimbutienės g. 9,Krepšinis,Nėra,Gera,2007 m.,Mokyklos reikmėms 8.00-14.45 val. Išorės naudotojai 14.45-22.00 val. 
Petrašiūnai,Vidaus,Sporto salė,Kauno Petrašiūnų progimnazija,M. Gimbutienės g. 9,"Krepšinis, futbolas, gimnastika",Nėra,Reikalingas remontas,Statyta 1985 m.,"mokyklos reikmėms 8.00-14.35 val. Nuomininkai, naudotojai: I-IV 14.35-21.00; V 14.35-19.30."
Petrašiūnai,vidaus,Sporto salė,"KM ""žalgiris""",Naglio g. 4E,Krepšinis,nėra,gera,2004m.,"mokyklos reikmėms d.d. I,IV,V 16.00-17.30 val. Ir 19.30-21.00 val. II 19.30-21.00; III 16.30-20.00 val"
Petrašiūnai,Vidaus,Sporto salė,"SM ""GAJA""",M.Gimbutienės g. 9,Šaudymas,nėra,Gera,2017 m.,Mokyklos reikmėms 
Šančiai,Lauko,Lauko treniruokliai,"""Žiburio"" pagrindinė mokykla","Verkių g. 30, Kaunas",bendras fizinis rengimas,yra ,Gera,,mokyklos reikmėms  sezono metu  d.d. 8.00-16.00. Vakarais- seniūnijos bendruomenei.
Šančiai,Lauko,Stadionas,"""Žiburio"" pagrindinė mokykla","Verkių g. 30, Kaunas","Futbolas, regbis, lengvoji atletika",yra ,Gera,,mokyklos reikmėms  sezono metu d.d. 8.00-16.00.  Vakarais - seniūnijos bendruomenei.
Šančiai,Lauko,Krepšinio aikštelė,"""Žiburio"" pagrindinė mokykla","Verkių g. 30, Kaunas",Krepšinis,yra ,Gera,,mokyklos reikmėms sezono metu d.d. 8.00-16.00. Vakarais- seniūnijos bendruomenei.
Šančiai,Vidaus,Sporto salė,"""Žiburio"" pagrindinė mokykla","Verkių g. 30, Kaunas","Krepšinis, rankinis, tinklinis",nėra,Gera,,"mokyklos reikmėms mokslo metų eigoje d.d. 8.00- 15.00, išnuomota  d.d. 15.00- 21.00 sporto mokykloms ir organizacijoms."
Šančiai,Vidaus,Sporto salė,Kauno Montesori mokykla-darželis „Žiburėlis“,"Verkių g. 36, Kaunas","Ankstyvojo, ikimokyklinio, priešmokyklinio ir pradinio ugdymo vaikų kūno kultūros užsiėmimams/pamokoms. Laisvu nuo pamokų/užsiėmimų metu salė nuomojama krepšinio ir karate neformaliojo ugdymo būreliams",nėra,Renovuota,2016,mokyklos reikmėms d.d. 8.30 - 14.15 val.                           Išnuomota I -IV 14.30 - 17.15 val.
Šančiai,Vidaus,Sporto salė,Kauno suaugusiųjų ir jaunimo mokymo centras,Sandėlių g. 7,"Krepšinis, gimnastika",nėra,Renovuotina,,mokyklos reikmėms d.d. ir šeštadieniais 8.00-21.00 val.
Šančiai,Lauko,Lauko gimnastikos įranga,Kauno Šančių mokykla - daugiafunkcis centras,"Vokiečių g.164, Kaunas",Gimnastika,nėra,Gera,Įrengta 2014m.,Mokyklos reikmėms. Po pamokų ir savaitgaliais gali sportuoti bendruomenės nariai
Šančiai,Lauko,Tinklinio aikštelė,Kauno Šančių mokykla - daugiafunkcis centras,"Vokiečių g.164, Kaunas",Tinklinis,yra ,Bloga,,Mokyklos reikmėms. Po pamokų ir savaitgaliais gali sportuoti bendruomenės nariai
Šančiai,Lauko,Stadionas,Kauno Šančių mokykla - daugiafunkcis centras,"Vokiečių g.164, Kaunas","Futbolas, regbis, lengvoji atletika",yra ,Bloga,,Mokyklos reikmėms. Po pamokų ir savaitgaliais gali sportuoti bendruomenės nariai
Šančiai,Lauko,Krepšinio aikštelė,Kauno Šančių mokykla - daugiafunkcis centras,"Vokiečių g.164, Kaunas",Krepšinis,yra ,gera,"Persfaltuota, įrengtos naujos krepšinio lentos 2013m.",Mokyklos reikmėms. Po pamokų ir savaitgaliais gali sportuoti bendruomenės nariai
Šančiai,Vidaus,Sporto salė,Kauno Šančių mokykla - daugiafunkcis centras,"Vokiečių g.164, Kaunas","Krepšinis, gimnastika, rankinis",nėra,Renovuotos grindys,2016 m.,"Mokyklos reikmėms d.d. 8.00 - 17.00  Išnuomota  I,III.V -17.30-20.30, II- 16.00-19.00, IV-16.00-20.30"
Šančiai,Lauko,Stadionas,KTU Vaižganto progimnazija,Skuodo g.27,bendras fizinis rengimas,yra ,Bloga,,"mokyklos reikmėms d.d. 8,15-16 val."
Šančiai,Vidaus,Sporto salė,KTU Vaižganto progimnazija,Skuodo g.28,Krepšinis,nėra,Patenkinama,,"mokyklos reikmėms d.d. 8,15-16 val.Išnuomota I,II,V 16,00-19,30val;II,IV 17,30-21,00 val."
Šančiai,Vidaus,Sporto salė,KTU Vaižganto progimnazija,Skuodo g.29,bendras fizinis rengimas,nėra,Patenkinama,,"mokyklos reikmėms d.d. 8,15-14 val.Išnuomota I,III,IV 14,00-20,30val;V 15,00-20,00 val"
Šančiai ,Lauko,Krepšinio aikštelė,M.Valančiaus m-d,Ktanto 5-oji g. 7,krepšinis,yra ,bloga,būtina renovuoti,mokyklos reikmėms d.d. 8.00-14.00 val.
Šančiai ,Vidaus,Sporto salė,M.Valančiaus m-d,Ktanto 5-oji g. 8,"Krepšinis, gimnastika",nėra,gera,,mokyklos reikmėms d.d. 8.00-14.00 val.
Šilainiai,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai",J.Basanavičiaus gimnazija,Šarkuvos 28,bendras fizinis rengimas,nėra,Renovuotina,2014 m,mokyklos reikmėms d.d. nuo 16.00val. -  rajono bendruomenei
Šilainiai,Lauko,Stadionas,J.Basanavičiaus gimnazija,Šarkuvos 28,"Futbolas, regbis, lengvoji atletika",nėra,Renovuotina,2014 m ,Mokyklos reikmėms d.d. 16.00 - 21.00 val. Išnuomota. Savaitgaliai- rajono bendruomenei
Šilainiai,Lauko,Krepšinio aikštelė,J.Basanavičiaus gimnazija,Šarkuvos 28,"Krepšinis,tinklinis,lauko tenisas",nėra,Renovuotina,2014 m ,Mokyklos reikmėms d.d. Nuo 16.00 val-  rajono bendruomenei
Šilainiai,Vidaus,Sporto salė,J.Basanavičiaus gimnazija,Šarkuvos 28,"Krepšinis, tinklinis, badmintonas gimnastika, bendras fizinis rengimas ",nėra,Vidutinė (žiemą šalta),1987 m,Mokyklos reikmėms d.d. Nuo 17.00 - 20.00 val. Išnuomota 
Šilainiai,Vidaus,Treniruoklių salė,J.Basanavičiaus gimnazija,Šarkuvos 28,Bendras fizinis rengimas,nėra,Gera,1987 m ,Mokyklos rekmėms
Šilainiai,Vidaus,Gimnastikos salė ,J.Basanavičiaus gimnazija,Šarkuvos 28,"Gimnastika, bendras fizinis rengimas,stalo tenisas",nėra,Vidutinė  ,1987 m,Mokyklos reikmėms d.d. Nuo 17.00 - 20.00 val. Išnuomota 
Šilainiai,Lauko,Krepšinio aikštelė,"Kauno ""Santaros"" gimnazija",Baltų per. 51,krepšinis,yra ,Reikia tvarkymo ,2012 m.,mokyklos reikmėms d.d. I - V  8.00 - 15.00 val.
Šilainiai,Vidaus,Sporto salė,"Kauno ""Santaros"" gimnazija",Baltų per. 51,Krepšinis,nėra,Reikia remonto,1989 m.,mokyklos reikmėms d.d. I - V  8.00 - 15.30 val.
Šilainiai,Lauko,Krepšinio aikštelė,Kauno Juozo Grušo meno gimnazija,Šarkuvos g.30,krepšinis,nėra,gera,,Perduota savivaldybei baseino statybai
Šilainiai,Vidaus,Sporto salė,Kauno Juozo Grušo meno gimnazija,Šarkuvos g.30,Krepšinis,nėra,Gera,2011,Mokyklos reikmėms d.d.8.00-16.00 nuomojama d.d. 16.00-20.30
Šilainiai,Vidaus,Sporto salė,Kauno Juozo Grušo meno gimnazija,Šarkuvos g.30,"Bendras fizinis rengimas, nuomojama",nėra,Gera,2011,Mokyklos reikmėms d.d.8.00-14.00 nuomojama d.d. 14.00-19.30
Šilainiai,Vidaus,Baseinas,Kauno plaukimo mokykla,Baltų pr. 8,"plaukimas, triatlonas, neįgalieji (judėjimo ir aklieji-silpnaregiai)",nėra,Renovuotina,1989 m.,"Mokyklos reikmėms. 
Treniruotės d.d. 6.00-19.30 val. 
šeštadieniais 7.00-12.00  val.
Paslaugos gyventojams 
d.d. 8.00-13.00, 19.30-21.30 val.
šeštadieniais 11.00-13.00 val."
Šilainiai,Lauko,Universali sporto aikštelė,Kauno Prano Mašioto pradinė mokykla,Rasytės 1 ,"Lauko tenisas, tinklinis, krepšinis",yra ,labai gera,2018 m.,Mokyklos reikmėms
Šilainiai,Lauko,Lauko treniruokliai,Kauno specialioji mokykla,"Apuolės g. 11, Kaunas",Bendras fizinis rengimas,nėra,Gera,2018,Mokyklos reikmėms 8.00 - 20.00 val.
Šilainiai,Vidaus,Sporto salė,Kauno specialioji mokykla,"Apuolės g. 11, Kaunas","Krepšinis, gimnastika",nėra,Renovuotina,1966,Mokyklos reikmėms 8.00 - 20.00 val.
Šilainiai,Lauko,Daugiafunkcis gimnastikos įrenginys,Kauno šv. Kazimiero progimnazija,"Vandžiogalos pl. 51, Kaunas",bendras fizinis rengimas,nėra,Gera,2017 m.,Mokyklos reikmėms d.d. 8.00 -15.00 val. Bendruomenės reikmėms 15.00-21.00 val.
Šilainiai,Lauko,Lauko treniruokliai,Kauno šv. Kazimiero progimnazija,"Vandžiogalos pl. 51, Kaunas",bendras fizinis rengimas,nėra,Gera,2018 m.,Mokyklos reikmėms d.d. 8.00 -15.00 val. Bendruomenės reikmėms 15.00-21.00 val.
Šilainiai,Lauko,Mini futbolo aikštelė,Kauno šv. Kazimiero progimnazija,"Vandžiogalos pl. 51, Kaunas",Futbolas,nėra,Gera,2018 m.,Mokyklos reikmėms d.d. 8.00 -15.00 val. Bendruomenės reikmėms 15.00-21.00 val.
Šilainiai,Lauko,"Bėgimo takeliai, šuolio į tolį sektorius",Kauno šv. Kazimiero progimnazija,"Vandžiogalos pl. 51, Kaunas","Lengvoji atletika, bendras fizinis pasirengimas",nėra,Gera,2018 m.,Mokyklos reikmėms d.d. 8.00 -15.00 val. Bendruomenės reikmėms 15.00-21.00 val.
Šilainiai,Lauko,Futbolo aikštynas,Kauno šv. Kazimiero progimnazija,"Vandžiogalos pl. 51, Kaunas","Futbolas, regbis, lengvoji atletika",nėra,Gera,2018 m.,Mokyklos reikmėms d.d. 8.00 -15.00 val. Bendruomenės reikmėms 15.00-21.00 val.
Šilainiai,Lauko,Krepšinio aikštelė,Kauno šv. Kazimiero progimnazija,"Vandžiogalos pl. 51, Kaunas",Krepšinis,nėra,Gera,2013 m.,Mokyklos reikmėms d.d. 8.00 -15.00 val. Bendruomenės reikmėms 15.00-21.00 val.
