Seniūnija,Rūšis,Objektas,Administratorius,Adresas,Paskirtis,Sezoniškumas,Būklė,Įrengimo/ renovacijos data,Užimtumas
Vilijampolė,Vidaus,Sporto salė,"SM ""Tauras""",Bijūnų 12,rankinis: treniruotės ir varžybos,nėra,Renovuotina,2016 m.,"mokyklos reikmėms visomis savaitės dienomis, nuomojama: pirmadienis  9.00-10.30;20.30-22.00,;ketvirtadienis 12.00-13.00 , 20.30-22.00; sekmadienis 18.00-20.00"
Vilijampolė,Vidaus,Treniruoklių salė,"SM ""Tauras""",Bijūnų 12,rankinis:bendras fizinis rengimas,nėra,Renovuotina,2016 m.,mokyklos reikmėms visomis savaitės dienomis
Žaliakalnis,Vidaus,Sporto salė,"„Saulės"" gimnazija",Savanorių per. 46,Bendras fizinis rengimas: sporto ir sveikos gyvensenos užsiėmimai,nėra ,gera,2006 m. ,"Gimnazijos reikmėms - d. d. 8.00-17.00 val., išnuomota - I - V 17.00 - 20.30 val., III  21.00 - 22.00 val., I-II, IV-V 21.30 - 22.30, VI - VII 10.30 - 13.00 val., VII 18.00 - 20.00 val. "
Žaliakalnis,Vidaus,Teniso ir treniruoklių sporto kabinetas,"„Saulės"" gimnazija",Savanorių per. 46,"Stalo tenisas, bendras fizinis rengimas",nėra ,gera,2010 m. ,Gimnazijos reikmėms - d. d. 8.00-17.00 val. 
Žaliakalnis,Lauko ,Krepšinio aikštelė,"„Saulės"" gimnazija",Savanorių per. 46,Krepšinis,yra,patenkinama,2005 m. ,Gimnazijos reikmėms - d. d. 8.00-17.00 val. 
Žaliakalnis,Lauko ,Futbolo aikštelė,"„Saulės"" gimnazija",Savanorių per. 46,Futbolas,yra,gera,2006 m. ,Gimnazijos reikmėms - d. d. 8.00-17.00 val. 
Žaliakalnis,Lauko,Krepšinio aikštelė,Kauno Jono Jablonskio gimnazija,"Aušros g. 3, Kaunas",Krepšinis,nėra,gera,2017 m.,"Mokyklos reikmės naudojama I-V 8.00-16.00 val., bendruomenės reikmėms 16.00-22.00"
Žaliakalnis,Vidaus,Sporto salė,Kauno Jono Jablonskio gimnazija,"Aušros g. 3, Kaunas","Krepšinis, gimnastika, tinklinis",nėra,Renovuotina,,"Mokyklos reikmėms I-V 8.00-16.00, išnuomota I 15.30-21.30; II 16.00-20.30; III 16.00-21.30; IV 16.00-21.30; V 17.00-20.00"
Žaliakalnis,Vidaus,Choreografijos salė,Kauno Jono Jablonskio gimnazija,"Aušros g. 3, Kaunas","Teatro užsiėmimai, jogos treniruotės, rytų kovos menų treniruotės",nėra,Renovuotina,,"Mokyklos reikmėms I-V 8.00-16.00, išnuomota I, IV 19.00-21.00"
Žaliakalnis,Vidaus,Sporto salė (80 m2),Kauno kurčiųjų ir neprigirdinčiųjų ugdymo centras,Uosio g. 7,"Krepšinis, lengvoji atletika",nėra,Gera,2017 m.,"mokyklos ir bendrabutyje gyvenančių mokinių reikmėms I-IV 8-20 val., V 8-14 val. "
Žaliakalnis,Lauko,Krepšinio aikštelė,Kauno kurčiųjų ir neprigirdinčiųjų ugdymo centras,Uosio g. 7,krepšinis,yra ,avarinė/ Renovuotinas,,
Žaliakalnis,Lauko,Lauko gimnastikos įrenginiai,Kauno Prano Daunio ugdymo centras,"Taikos pr.6A, Kaunas",bendras fizinis rengimas,nėra,Renovuotina,2004 m.,Centro reikmėms d.d. 8.00-20.00 val
Žaliakalnis,Lauko,Stadionas,Kauno Prano Daunio ugdymo centras,Taikos pr.6A,bendras fizinis rengimas,yra ,"Renovuotina, futbolo vartų nėra, bėgimo takas gruntinis",2004 m.,Centro reikmėms d.d. 8.00-20.00 val
Žaliakalnis,Vidaus,Ledo arena,"Kauno žiemos sporto mokykla ""Baltų ainiai""","Aušros g. 42, Kaunas","dailusis čiuožimas, ledo ritulys",yra ,renovuojama,nuo 2008 m.,mokyklos reikmėms I-V 7.00 iki 20.00 ir VI-8.00-13.00; išnuomota I-V 20.00-23.00; VI -VII -13.00-17.00 miesto gyventojams ir svečiams; VI-VII 17.00-23.00 išnuomota
Žaliakalnis,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai",KTU inžinerijos licėjus,S.Lozoraičio g.13,bendras fizinis rengimas,nėra,Gera,,
Žaliakalnis,Lauko,Stadionas,KTU inžinerijos licėjus,S.Lozoraičio g.13,bendras fizinis rengimas,yra ,daromas projektas,,mokyklos reikmėms
Žaliakalnis,Lauko,Krepšinio aikštelė,KTU inžinerijos licėjus,S.Lozoraičio g.13,krepšinis,nėra,daromas projektas,,
Žaliakalnis,Vidaus,Sporto salė,KTU inžinerijos licėjus,S.Lozoraičio g.13,"Krepšinis,futbolas, gimnastika(kūno kultūros pamokos)",nėra,Renovuotina,,"Šiuo metu derinami užimtumo grafikai, nuoma bus sudaroma pasibaigus pamokoms"
Žaliakalnis,Lauko,Maža sporto aikštelė,"Mokykla-darželis ""Rūtelė""",Klaniečių g. 167,futbolas,nėra,gera,2015,mokyklos reikmėms 
Žaliakalnis,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai",Žaliakalnis progimnazija,Širvintų g.15,bendras fizinis rengimas,nėra,Gera,2014 m.,Mokyklos reikmėms
Žaliakalnis,Lauko,Krepšinio aikštelė,Žaliakalnis progimnazija,Širvintų g.15,"Krepšinis, bendras fizinis parengimas",nėra,Gera,2014 m.,Mokyklos reikmėms
Žaliakalnis,Vidaus,Sporto salė,Žaliakalnis progimnazija,Širvintų g.15,"Krepšinis, gimnastika",nėra,Labai maža,2010m.,Mokyklos reikmėms
Žaliakalnis ,Vidaus ,Sporto/ aktų salė,Kauno Gedimino sporto ir sveikatinimo gimnazija,Aukštaičių g. 78,,nėra,Patenkinama,Reikia remonto,"Gimnazijos reikmėms, nuomojama: I  16.00 - 18.00, II - 15.30 -16.30  val., III - 16.00 - 18.30 val., IV - 15.30 - 18.00 val. V - 16.30-18.30 val."
Žaliakalnis ,Vidaus ,Gimnastikos salė,Kauno Gedimino sporto ir sveikatinimo gimnazija,Aukštaičių g. 79,,nėra,Prasta,Reikia remonto,"Gimnastikos reikmėms; nuomojama I- 18.00-19.00 val. II - 17.00-19.00 val., III - 15.45 - 19.30 val., IV - 17.00   -19.00 val., V - 16.00-18.00 val. "
Žaliakalnis ,Vidaus ,Treniruoklių salė,Kauno Gedimino sporto ir sveikatinimo gimnazija,Aukštaičių g. 80,,nėra,Gera,,Gimnazijos reikmėms
Žaliakalnis ,Lauko,Aikštynai,Kauno Gedimino sporto ir sveikatinimo gimnazija,Aukštaičių g. 81,"Futbolas, krepšinis",yra ,Renovuotina,Reikia renovacijos,Gimnazijos reikmėms
Žaliakalnis ,Vidaus ,Sporto salė ,Kauno Gedimino sporto ir sveikatinimo gimnazija,Ašigalio g. 23,,nėra,Gera,,Gimnazijos reikmėms; Išnuomota : Kauno Pilėnų pagrindinei mokyklai nuo 8.00 iki 10.00 val.; nuomininkams:  nuo 12.00 iki 20.30 val. 
